premise,hypothesis,label,alternation,subtype of alternation,lemma,verb class,comment,prediction,,Model,Accuracy
James smudged Mary's paint on Carol.,James smudged Carol with Mary's paint.,entailment,locative,spray/load,smudge,SPRAY/LOAD,,entailment,,,
James smudged Mary's paint on Carol.,James smudged Mary with paint.,non-entailment,locative,spray/load,smudge,SPRAY/LOAD,,non-entailment,,,
Eric spattered mud on Julia while playing.,Eric spattered Julia with mud while playing.,entailment,locative,spray/load,spatter,SPRAY/LOAD,,entailment,,,
Eric spattered mud on Julia while playing.,Julia spattered Eric with mud while playing.,non-entailment,locative,spray/load,spatter,SPRAY/LOAD,,non-entailment,,,
Robert splashed ice-cold water on Jason.,Robert splashed Jason with ice-cold water.,entailment,locative,spray/load,splash,SPRAY/LOAD,,entailment,,,
Robert splashed ice-cold water on Jason.,Jason splashed Robert with ice-cold water.,non-entailment,locative,spray/load,splash,SPRAY/LOAD,,non-entailment,,,
Stephanie splattered Laura with Lisa's coffee as she carried the cup to the table and tripped over Lucky.,Stephanie splattered Lisa's coffee on Laura as she carried the cup to the table and tripped over Lucky.,entailment,locative,spray/load,splatter,SPRAY/LOAD,,entailment,,,
Stephanie splattered Laura with Lisa's coffee as she carried the cup to the table and tripped over Lucky.,Stephanie splattered some coffee on Lisa as she carried the cup to the table and tripped over Lucky.,non-entailment,locative,spray/load,splatter,SPRAY/LOAD,,non-entailment,,,
Ryan sprayed David's insect repellent on Rebecca during their picnic by the lake.,Ryan sprayed Rebecca with David's insect repellent during their picnic by the lake.,entailment,locative,spray/load,spray,SPRAY/LOAD,,entailment,,,
Ryan sprayed David's insect repellent on Rebecca during their picnic by the lake.,Ryan sprayed David with some insect repellent during their picnic by the lake.,non-entailment,locative,spray/load,spray,SPRAY/LOAD,,non-entailment,,,
Kevin accidentally spread Lucy's canvas with too much of Mary's paint.,Kevin accidentally spread too much of Mary's paint on Lucy's canvas.,entailment,locative,spray/load,spread,SPRAY/LOAD,,entailment,,,
Kevin accidentally spread Lucy's canvas with too much of Mary's paint.,Kevin accidentally spread too much of the paint on Mary's canvas.,non-entailment,locative,spray/load,spread,SPRAY/LOAD,,non-entailment,,,
Nancy sprinkled Emma's lavender water on her daughter's pillow.,Nancy sprinkled her daughter's pillow with Emma's lavender water.,entailment,locative,spray/load,sprinkle,SPRAY/LOAD,,entailment,,,
Nancy sprinkled Emma's lavender water on her daughter's pillow.,Nancy sprinkled her pillow with lavender water.,non-entailment,locative,spray/load,sprinkle,SPRAY/LOAD,,non-entailment,,,
Samantha spritzed Anna's perfume on Ashley before the party.,Samantha spritzed Ashley with Anna's perfume before the party.,entailment,locative,spray/load,spritz,SPRAY/LOAD,,entailment,,,
Samantha spritzed Anna's perfume on Ashley before the party.,Samantha spritzed Anna with her perfume before the party.,non-entailment,locative,spray/load,spritz,SPRAY/LOAD,,non-entailment,,,
Lauren strewed Alice with golden leaves while playing outdoors.,Lauren strewed golden leaves on Alice while playing outdoors.,entailment,locative,spray/load,strew,SPRAY/LOAD,,entailment,,,
Lauren strewed Alice with golden leaves while playing outdoors.,Alice strewed golden leaves on Lauren while playing outdoors.,non-entailment,locative,spray/load,strew,SPRAY/LOAD,,non-entailment,,,
John wrapped Mary with Jane's blanket when it got chilly in the garden.,John wrapped Jane's blanket around Mary when it got chilly in the garden.,entailment,locative,spray/load,wrap,SPRAY/LOAD,,entailment,,,
John wrapped Mary with Jane's blanket when it got chilly in the garden.,John wrapped a blanket around Jane when it got chilly in the garden.,non-entailment,locative,spray/load,wrap,SPRAY/LOAD,,non-entailment,,,
Steve cleaned the paint from Betty.,Steve cleaned Betty of the paint.,entailment,locative,clear,clean,CLEAR,,entailment,,,
Steve cleaned the paint from Betty.,Betty cleaned Steve of the paint.,non-entailment,locative,clear,clean,CLEAR,,non-entailment,,,
Emily cleared Mark of the mud.,Emily cleared the mud from Mark.,entailment,locative,clear,clear,CLEAR,,entailment,,,
Emily cleared Mark of the mud.,Mark cleared the mud from Emily.,non-entailment,locative,clear,clear,CLEAR,,non-entailment,,,
The team arranged a row of chairs into a circle for the meeting.,The team arranged a circle of chairs out of a row for the meeting.,entailment,creation and transformation,material/product (transitive),arrange,BUILD,,entailment,,,
The team arranged a row of chairs into a circle for the meeting.,The team arranged a row of chairs out of a circle for the meeting.,non-entailment,creation and transformation,material/product (transitive),arrange,BUILD,,non-entailment,,,
The scientist assembled an engine out of a solar-powered device.,The scientist assembled a solar-powered device into an engine.,entailment,creation and transformation,material/product (transitive),assemble,BUILD,,entailment,,,
The scientist assembled an engine out of a solar-powered device.,The scientist assembled an engine into a solar-powered device.,non-entailment,creation and transformation,material/product (transitive),assemble,BUILD,,non-entailment,,,
He built a henhouse out of a tool shed.,He built a tool shed into a henhouse.,entailment,creation and transformation,material/product (transitive),build,BUILD,,entailment,,,
He built a henhouse out of a tool shed.,He built a henhouse into a tool shed.,non-entailment,creation and transformation,material/product (transitive),build,BUILD,,non-entailment,,,
Martha carved a wooden spoon out of a pointy stick.,Martha carved a pointy stick into a wooden spoon.,entailment,creation and transformation,material/product (transitive),carve,BUILD,,entailment,,,
Martha carved a wooden spoon out of a pointy stick.,Martha carved a wooden spoon into a pointy stick.,non-entailment,creation and transformation,material/product (transitive),carve,BUILD,,non-entailment,,,
The glassblower cast molten glass from a broken vase into a bowl.,The glassblower cast a bowl out of molten glass from a broken vase.,entailment,creation and transformation,material/product (transitive),cast,BUILD,,entailment,,,
The glassblower cast molten glass from a broken vase into a bowl.,The glassblower cast a vase out of molten glass from a broken bowl.,non-entailment,creation and transformation,material/product (transitive),cast,BUILD,,non-entailment,,,
The teacher compiled final exam questions from previous years into midterm tests.,The teacher compiled midterm tests out of final exam questions from previous years.,entailment,creation and transformation,material/product (transitive),compile,BUILD,,entailment,,,
The teacher compiled final exam questions from previous years into midterm tests.,The teacher compiled final exam questions out of midterm tests from previous years.,non-entailment,creation and transformation,material/product (transitive),compile,BUILD,,non-entailment,,,
The tailor fashioned a dress into a skirt for Jane.,The tailor fashioned a skirt out of a dress for Jane.,entailment,creation and transformation,material/product (transitive),fashion,BUILD,,entailment,,,
The tailor fashioned a dress into a skirt for Jane.,The tailor fashioned a dress out of a skirt for Jane.,non-entailment,creation and transformation,material/product (transitive),fashion,BUILD,,non-entailment,,,
Susan made shorts out of a skirt for Mary. ,Susan made a skirt into shorts for Mary.,entailment,creation and transformation,material/product (transitive),make,BUILD,,entailment,,,
Susan made shorts out of a skirt for Mary. ,Susan made shorts into a skirt for Mary.,non-entailment,creation and transformation,material/product (transitive),make,BUILD,,non-entailment,,,
Oliver shaped a bowl instead of a mug from a lump of clay on the potter's wheel.,A lump of clay was shaped into a bowl. ,entailment,creation and transformation,material/product (transitive),shape,BUILD,,entailment,,,
Oliver shaped a bowl instead of a mug from a lump of clay on the potter's wheel.,A lump of clay was shaped into a mug.,non-entailment,creation and transformation,material/product (transitive),shape,BUILD,,non-entailment,,,
Lara stitched a pillowcase into a T-shirt.,Lara stitched a T-shirt out of a pillowcase.,entailment,creation and transformation,material/product (transitive),stitch,BUILD,,entailment,,,
Lara stitched a pillowcase into a T-shirt.,Lara stitched a pillowcase out of a T-shirt.,non-entailment,creation and transformation,material/product (transitive),stitch,BUILD,,non-entailment,,,
A book was developed into a movie.,A movie was developed from a book.,entailment,creation and transformation,material/product (intransitive),develop,GROW,,entailment,,,
A book was developed into a movie.,A book was developed from a movie.,non-entailment,creation and transformation,material/product (intransitive),develop,GROW,,non-entailment,,,
The comic book evolved from the cartoon.,The cartoon evolved into the comic book.,entailment,creation and transformation,material/product (intransitive),evolve,GROW,,entailment,,,
The comic book evolved from the cartoon.,The comic book evolved into the cartoon.,non-entailment,creation and transformation,material/product (intransitive),evolve,GROW,,non-entailment,,,
Alan credited the team's success to Steve.,Alan credited Steve with the team's success.,entailment,fulfilling,,credit,FULFILLING,,entailment,,,
Alan credited the team's success to Steve.,Alan credited the team with Steve's success.,non-entailment,fulfilling,,credit,FULFILLING,,non-entailment,,,
Anika entrusted her friend's documents to the lawyer.,Anika entrusted the lawyer with her friend's documents.,entailment,fulfilling,,entrust,FULFILLING,,entailment,,,
Anika entrusted her friend's documents to the lawyer.,Anika entrusted her friend with documents.,non-entailment,fulfilling,,entrust,FULFILLING,,entailment,,,
Miss Adamson issued Miss Dalton's report to Miss Carter.,Miss Adamson issued Miss Carter with Miss Dalton's report.,entailment,fulfilling,,issue,FULFILLING,,entailment,,,
Miss Adamson issued Miss Dalton's report to Miss Carter.,Miss Adamson issued Miss Dalton with a report.,non-entailment,fulfilling,,issue,FULFILLING,,non-entailment,,,
Emily left John with a reminder to pick up the parcel.,Emily left a reminder to John.,entailment,fulfilling,,leave,FULFILLING,,entailment,,,
Emily left John with a reminder to pick up the parcel.,Emily left a parcel to John.,non-entailment,fulfilling,,leave,FULFILLING,,non-entailment,,,
Mom presented Stephan's books to Edward.,Mom presented Edward with Stephan's books.,entailment,fulfilling,,present,FULFILLING,,entailment,,,
Mom presented Stephan's books to Edward.,Mom presented Stephan with books.,non-entailment,fulfilling,,present,FULFILLING,,non-entailment,,,
George provided Alex with instructions before the team meeting.,George provided instructions to Alex.,entailment,fulfilling,,provide,FULFILLING,,entailment,,,
George provided Alex with instructions before the team meeting.,George provided instructions to the team,non-entailment,fulfilling,,provide,FULFILLING,,non-entailment,,,
Robert served Amanda with his mom's pie after the long walk with the dog.,Robert served his mom's pie to Amanda.,entailment,fulfilling,,serve,FULFILLING,,entailment,,,
Robert served Amanda with his mom's pie after the long walk with the dog.,Robert served a pie to his mom.,non-entailment,fulfilling,,serve,FULFILLING,,non-entailment,,,
Carol supplied Sarah with Mary's laptop while she worked on the presentation for the meeting.,Carol supplied Mary's laptop to Sarah.,entailment,fulfilling,,supply,FULFILLING,,entailment,,,
Carol supplied Sarah with Mary's laptop while she worked on the presentation for the meeting.,Carol supplied a laptop to Mary.,non-entailment,fulfilling,,supply,FULFILLING,,non-entailment,,,
Bob trusted Mark's sister with his parents' car.,Bob trusted his parents' car to Mark's sister.,entailment,fulfilling,,trust,FULFILLING,,entailment,,,
Bob trusted Mark's sister with his parents' car.,Bob trusted his car to Mark's sister.,non-entailment,fulfilling,,trust,FULFILLING,,non-entailment,,,
Mary embroidered Christmas stockings on cushions.,Mary embroidered cushions with Christmas stockings.,entailment,image impression,,embroider,IMAGE IMPRESSION,,entailment,,,
Mary embroidered Christmas stockings on cushions.,Mary embroidered Christmas stockings with cushions.,non-entailment,image impression,,embroider,IMAGE IMPRESSION,,non-entailment,,,
Steve engraved a ring on a watch.,Steve engraved a watch with a ring.,entailment,image impression,,engrave,IMAGE IMPRESSION,,non-entailment,,,
Steve engraved a ring on a watch.,Steve engraved a ring with a watch.,non-entailment,image impression,,engrave,IMAGE IMPRESSION,,non-entailment,,,
Mark etched a scroll with a window.,Mark etched a window on a scroll.,entailment,image impression,,etch,IMAGE IMPRESSION,,entailment,,,
Mark etched a scroll with a window.,Mark etched a scroll on a window.,non-entailment,image impression,,etch,IMAGE IMPRESSION,,non-entailment,,,
Emily imprinted the logo on the inscription.,Emily imprinted the inscription with the logo.,entailment,image impression,,imprint,IMAGE IMPRESSION,,entailment,,,
Emily imprinted the logo on the inscription.,Emily imprinted the logo with the inscription.,non-entailment,image impression,,imprint,IMAGE IMPRESSION,,non-entailment,,,
Frank marked the ring with a sign.,Frank marked the sign on the ring.,entailment,image impression,,mark,IMAGE IMPRESSION,,entailment,,,
Frank marked the ring with a sign.,Frank marked the ring on the sign.,non-entailment,image impression,,mark,IMAGE IMPRESSION,,non-entailment,,,
Claire painted the wall with the ship.,Claire painted the ship on the wall.,entailment,image impression,,paint,IMAGE IMPRESSION,,non-entailment,,,
Claire painted the wall with the ship.,Claire painted the wall on the ship.,non-entailment,image impression,,paint,IMAGE IMPRESSION,,non-entailment,,,
Carl stamped the letters on the logo.,Carl stamped the logo with the letters.,entailment,image impression,,stamp,IMAGE IMPRESSION,,entailment,,,
Carl stamped the letters on the logo.,Carl stamped the letters with the logo.,non-entailment,image impression,,stamp,IMAGE IMPRESSION,,non-entailment,,,
Gloria tattooed a hand on her neck.,Gloria tattooed her neck with a hand.,entailment,image impression,,tattoo,IMAGE IMPRESSION,,entailment,,,
Gloria tattooed a hand on her neck.,Gloria tattooed her hand with a neck.,non-entailment,image impression,,tattoo,IMAGE IMPRESSION,,non-entailment,,,
The kid banged the toy car against the teddy bear.,The kid banged the teddy bear with the toy car.,entailment,with/against,,bang,IMAGE IMPRESSION,,entailment,,,
The kid banged the toy car against the teddy bear.,The kid banged the toy car with the teddy bear.,non-entailment,with/against,,bang,IMAGE IMPRESSION,,non-entailment,,,
Ethan bashed the car against the dumpster.,Ethan bashed the dumpster with the car.,entailment,with/against,,bash,IMAGE IMPRESSION,,entailment,,,
Ethan bashed the car against the dumpster.,Ethan bashed the car with the dumpster.,non-entailment,with/against,,bash,IMAGE IMPRESSION,,non-entailment,,,
Mary bumped the grocery cart against the bicycle.,Mary bumped the bicycle with the grocery cart.,entailment,with/against,,bump,IMAGE IMPRESSION,,entailment,,,
Mary bumped the grocery cart against the bicycle.,Mary bumped the grocery cart with the bicycle.,non-entailment,with/against,,bump,IMAGE IMPRESSION,,non-entailment,,,
Linda hit her palm against the stick.,Linda hit the stick with her palm.,entailment,with/against,,hit,IMAGE IMPRESSION,,entailment,,,
Linda hit her palm against the stick.,Linda hit her palm with the stick.,non-entailment,with/against,,hit,IMAGE IMPRESSION,,non-entailment,,,
John kicked the toy against the ball.,John kicked the ball with the toy.,entailment,with/against,,kick,IMAGE IMPRESSION,,non-entailment,,,
John kicked the toy against the ball.,John kicked the toy with the ball.,non-entailment,with/against,,kick,IMAGE IMPRESSION,,non-entailment,,,
Charles knocked the vase against the mug.,Charles knocked the mug with the vase.,entailment,with/against,,knock,IMAGE IMPRESSION,,entailment,,,
Charles knocked the vase against the mug.,Charles knocked the vase with the mug.,non-entailment,with/against,,knock,IMAGE IMPRESSION,,non-entailment,,,
Daniel lashed the whip against the rope.,Daniel lashed the rope with the whip.,entailment,with/against,,lash,IMAGE IMPRESSION,,entailment,,,
Daniel lashed the whip against the rope.,Daniel lashed the whip with the rope.,non-entailment,with/against,,lash,IMAGE IMPRESSION,,non-entailment,,,
The student rapped fingers against the pen.,The student rapped the pen with fingers.,entailment,with/against,,rap,IMAGE IMPRESSION,,entailment,,,
The student rapped fingers against the pen.,The student rapped fingers with the pen.,non-entailment,with/against,,rap,IMAGE IMPRESSION,,non-entailment,,,
The teacher slapped the ruler against fingers.,The teacher slapped the fingers with the ruler.,entailment,with/against,,slap,IMAGE IMPRESSION,,entailment,,,
The teacher slapped the ruler against fingers.,The teacher slapped the ruler with fingers.,non-entailment,with/against,,slap,IMAGE IMPRESSION,,non-entailment,,,
Daniel smacked the car against the garage door.,Daniel smacked the garage door with the car.,entailment,with/against,,smack,IMAGE IMPRESSION,,entailment,,,
Daniel smacked the car against the garage door.,Daniel smacked the car with the garage door.,non-entailment,with/against,,smack,IMAGE IMPRESSION,,non-entailment,,,
The skateboarder smashed the skateboard against the wooden railing.,The skateboarder smashed the skateboard with the wooden railing.,entailment,with/against,,smash,IMAGE IMPRESSION,,non-entailment,,,
The skateboarder smashed the skateboard against the wooden railing.,The skateboarder smashed the wooden railing with the skateboard.,non-entailment,with/against,,smash,IMAGE IMPRESSION,,entailment,,,
Sam struck the branch against the rock.,Sam struck the rock with the branch.,entailment,with/against,,strike,IMAGE IMPRESSION,,entailment,,,
Sam struck the branch against the rock.,Sam struck the branch with the rock.,non-entailment,with/against,,strike,IMAGE IMPRESSION,,non-entailment,,,
The child tapped fingers against the pencil.,The child tapped the pencil with fingers.,entailment,with/against,,tap,IMAGE IMPRESSION,,entailment,,,
The child tapped fingers against the pencil.,The child tapped fingers with the pencil.,non-entailment,with/against,,tap,IMAGE IMPRESSION,,non-entailment,,,
James whacked the ball against the handbag.,James whacked the handbag with the ball.,entailment,with/against,,whack,IMAGE IMPRESSION,,entailment,,,
James whacked the ball against the handbag.,James whacked the ball with the handbag.,non-entailment,with/against,,whack,IMAGE IMPRESSION,,non-entailment,,,
