premise,hypothesis,label,alternation,subtype of alternation,lemma,verb class,comment,pred,prediction,,Model,Accuracy
William boiled Victoria's tea from Sri Lanka for Carol.,William boiled Carol some tea.,entailment,benefactive,,boil,PREPARE,,non-entailment,non-entailment,,,
William boiled Victoria's tea from Sri Lanka for Carol.,William boiled Victoria some tea.,non-entailment,benefactive,,boil,PREPARE,,Non-entailment,non-entailment,,,
Mary brewed her sisters's coffee for Julia after a sleepless night of exam preparation.,Mary brewed Julia coffee.,entailment,benefactive,,brew,PREPARE,,non-entailment,non-entailment,,,
Mary brewed her sisters's coffee for Julia after a sleepless night of exam preparation.,Mary brewed her sister coffee.,non-entailment,benefactive,,brew,PREPARE,,"The correct answer is 'entailment'. The hypothesis, ""Mary brewed her sister coffee."", can be inferred from the given premise, ""Mary brewed her sisters's coffee for Julia after a sleepless night of exam preparation."" Since ""sister"" can refer to a singular sister or multiple sisters, it can be inferred that Mary brewed coffee for one of her sisters.",entailment,,,
Sam fried the chicken eggs for his parents after a long tiring journey.,Sam fried his parents the eggs.,entailment,benefactive,,fry,PREPARE,,non-entailment,non-entailment,,,
Sam fried the chicken eggs for his parents after a long tiring journey.,Sam fried his parents the chicken.,non-entailment,benefactive,,fry,PREPARE,,Non-entailment,non-entailment,,,
Henry grilled the mushrooms Mary bought separately from the meat because her siblings are vegetarians.,Henry grilled Mary's siblings mushrooms.,entailment,benefactive,,grill,PREPARE,,Non-entailment,non-entailment,,,
Henry grilled the mushrooms Mary bought separately from the meat because her siblings are vegetarians.,Henry grilled Mary mushrooms.,non-entailment,benefactive,,grill,PREPARE,,Non-entailment,non-entailment,,,
Tyler ironed Mike's white shirt for James before his first interview.,Tyler ironed James a white shirt before his first interview.,entailment,benefactive,,iron,PREPARE,,Entailment,entailment,,,
Tyler ironed Mike's white shirt for James before his first interview.,Tyler ironed Mike a white shirt before his first interview.,non-entailment,benefactive,,iron,PREPARE,,Non-entailment,non-entailment,,,
Olivia mixed a bit of Janet's coconut liqueur with some juice for James as Mary told her.,Olivia mixed James a bit of coconut liqueur with some juice.,entailment,benefactive,,mix,PREPARE,,entailment,entailment,,,
Olivia mixed a bit of Janet's coconut liqueur with some juice for James as Mary told her.,Olivia mixed Janet a bit of coconut liqueur with some juice.,non-entailment,benefactive,,mix,PREPARE,,Non-entailment,non-entailment,,,
Dad poured a cup of mom's relaxing tea for Joan when she was nervous.,Dad poured Joan a cup of tea.,entailment,benefactive,,pour,PREPARE,,Entailment,entailment,,,
Dad poured a cup of mom's relaxing tea for Joan when she was nervous.,Dad poured mom a cup of tea.,non-entailment,benefactive,,pour,PREPARE,,entailment,entailment,,,
Henry prepared a chocolate cake with his mother's recipe for Helen.,Henry prepared Helen a chocolate cake.,entailment,benefactive,,prepare,PREPARE,,Entailment,entailment,,,
Henry prepared a chocolate cake with his mother's recipe for Helen.,Henry prepared his mother a chocolate cake.,non-entailment,benefactive,,prepare,PREPARE,,The answer is non-entailment.,non-entailment,,,
Jane roasted Mark's farm chicken with a lemon and garlic marinade for a flavorful twist for Alex.,Jane roasted Alex a chicken with a lemon and garlic marinade.,entailment,benefactive,,roast,PREPARE,,Non-entailment,non-entailment,,,
Jane roasted Mark's farm chicken with a lemon and garlic marinade for a flavorful twist for Alex.,Jane roasted Mark a chicken with a lemon and garlic marinade.,non-entailment,benefactive,,roast,PREPARE,,Entailment,entailment,,,
Emma set her grandmother's vintage plates on the table for the guests.,Emma set the guests her grandmother's vintage plates.,entailment,benefactive,,set,PREPARE,,Non-entailment,non-entailment,,,
Emma set her grandmother's vintage plates on the table for the guests.,Emma set her grandmother vintage plates.,non-entailment,benefactive,,set,PREPARE,,non-entailment,non-entailment,,,
Joan slightly toasted a slice of bread on both sides for Emma's sister.,Joan slightly toasted Emma's sister a slice of bread.,entailment,benefactive,,toast,PREPARE,,Non-entailment,non-entailment,,,
Joan slightly toasted a slice of bread on both sides for Emma's sister.,Joan slightly toasted her sister a slice of bread.,non-entailment,benefactive,,toast,PREPARE,,non-entailment,non-entailment,,,
Adam drew his favourite actor's portrait for Olivia during a class at art school.,Adam drew Olivia a portrait of his favourite actor.,entailment,benefactive,,draw,PERFORMANCE,,entailment,entailment,,,
Adam drew his favourite actor's portrait for Olivia during a class at art school.,Adam drew Olivia her portrait.,non-entailment,benefactive,,draw,PERFORMANCE,,entailment,entailment,,,
"Emily painted Anna's beach house, the place where they all spent their holidays together, for Jane.",Emily painted Jane a beach house.,entailment,benefactive,,paint,PERFORMANCE,,Non-entailment,non-entailment,,,
"Emily painted Anna's beach house, the place where they all spent their holidays together, for Jane.",Emily painted Anna a beach house.,non-entailment,benefactive,,paint,PERFORMANCE,,Non-entailment,non-entailment,,,
The workers crammed the room with heavy boxes.,Heavy boxes crammed into the room.,entailment,locative,spray/load,cram,SPRAY/LOAD,,entailment,entailment,,,
The workers crammed the room with heavy boxes.,The workers crammed into the room.,non-entailment,locative,spray/load,cram,SPRAY/LOAD,,non-entailment,non-entailment,,,
Employees crowded the room with old furniture.,Old furniture crowded into the room.,entailment,locative,spray/load,crowd,SPRAY/LOAD,,Entailment,entailment,,,
Employees crowded the room with old furniture.,Employees crowded into the room.,non-entailment,locative,spray/load,crowd,SPRAY/LOAD,,Entailment,entailment,,,
Alice draped Claire with Amanda's finest silk.,Alice draped Amanda's finest silk on Claire.,entailment,locative,spray/load,drape,SPRAY/LOAD,,The answer is 'entailment'. The hypothesis can be inferred from the given premise because both sentences convey the same meaning.,entailment,,,
Alice draped Claire with Amanda's finest silk.,Alice draped the finest silk on Amanda.,non-entailment,locative,spray/load,drape,SPRAY/LOAD,,non-entailment,non-entailment,,,
Rachel drizzled James with cold water.,Rachel drizzled cold water on James.,entailment,locative,spray/load,drizzle,SPRAY/LOAD,,Entailment,entailment,,,
Rachel drizzled James with cold water.,James drizzled cold water on Rachel.,non-entailment,locative,spray/load,drizzle,SPRAY/LOAD,,"The answer is 'non-entailment'. The premise states that Rachel drizzled James with cold water, but it doesn't provide any information about James drizzling cold water on Rachel. Therefore, the hypothesis cannot be inferred from the given premise.",non-entailment,,,
Jane injected Mary with a sedative.,Jane injected a sedative into Mary.,entailment,locative,spray/load,inject,SPRAY/LOAD,,entailment,entailment,,,
Jane injected Mary with a sedative.,Mary injected a sedative into Jane.,non-entailment,locative,spray/load,inject,SPRAY/LOAD,,Non-entailment,non-entailment,,,
His friends jammed the car with bags.,Bags were jammed in the car.,entailment,locative,spray/load,jam,SPRAY/LOAD,,Entailment,entailment,,,
His friends jammed the car with bags.,His friends were jammed in the car.,non-entailment,locative,spray/load,jam,SPRAY/LOAD,,Non-entailment,non-entailment,,,
Conveyors loaded the trucks with parcels.,Parcels were loaded onto the trucks.,entailment,locative,spray/load,load,SPRAY/LOAD,,Entailment.,entailment,,,
Conveyors loaded the trucks with parcels.,Conveyors were loaded onto the trucks.,non-entailment,locative,spray/load,load,SPRAY/LOAD,meaning change,non-entailment,non-entailment,,,
He plastered the floor with expensive stucco from France.,Expensive stucco from France was plastered on the floor.,entailment,locative,spray/load,plaster,SPRAY/LOAD,,entailment,entailment,,,
He plastered the floor with expensive stucco from France.,He was plastered on the floor.,non-entailment,locative,spray/load,plaster,SPRAY/LOAD,meaning change?,Non-entailment,non-entailment,,,
"Startled by the noise, the toddlers scattered the floor with chess pieces.",Chess pieces scattered on the floor.,entailment,locative,spray/load,scatter,SPRAY/LOAD,metaphorical?,entailment,entailment,,,
"Startled by the noise, the toddlers scattered the floor with chess pieces.",The toddlers scattered on the floor.,non-entailment,locative,spray/load,scatter,SPRAY/LOAD,,Non-entailment,non-entailment,,,
Jane showered gifts on Luke on their anniversary. ,Jane showered Luke with gifts on their anniversary.,entailment,locative,spray/load,shower,SPRAY/LOAD,,entailment,entailment,,,
Jane showered gifts on Luke on their anniversary. ,Luke showered Jane with gifts on their anniversary.,non-entailment,locative,spray/load,shower,SPRAY/LOAD,,Non-entailment,non-entailment,,,
Olivia slathered Emma's sun cream on Joan.,Olivia slathered Joan with Emma's sun cream.,entailment,locative,spray/load,slather,SPRAY/LOAD,,Non-entailment,non-entailment,,,
Olivia slathered Emma's sun cream on Joan.,Olivia slathered Emma with some sun cream.,non-entailment,locative,spray/load,slather,SPRAY/LOAD,,Non-entailment,non-entailment,,,
Jane accidentally smeared Alice with too much massage oil.,Jane accidentally smeared too much massage oil on Alice.,entailment,locative,spray/load,smear,SPRAY/LOAD,,Non-entailment,non-entailment,,,
Jane accidentally smeared Alice with too much massage oil.,Alice accidentally smeared too much massage oil on Jane.,non-entailment,locative,spray/load,smear,SPRAY/LOAD,,non-entailment,non-entailment,,,
James smudged Mary's paint on Carol.,James smudged Carol with Mary's paint.,entailment,locative,spray/load,smudge,SPRAY/LOAD,,non-entailment,non-entailment,,,
James smudged Mary's paint on Carol.,James smudged Mary with paint.,non-entailment,locative,spray/load,smudge,SPRAY/LOAD,,non-entailment,non-entailment,,,
Eric spattered mud on Julia while playing.,Eric spattered Julia with mud while playing.,entailment,locative,spray/load,spatter,SPRAY/LOAD,,"Entailment. The hypothesis ""Eric spattered Julia with mud while playing."" can be inferred from the premise ""Eric spattered mud on Julia while playing."" Both sentences convey the same information, but with slightly different wording.",entailment,,,
Eric spattered mud on Julia while playing.,Julia spattered Eric with mud while playing.,non-entailment,locative,spray/load,spatter,SPRAY/LOAD,,Entailment,entailment,,,
Robert splashed ice-cold water on Jason.,Robert splashed Jason with ice-cold water.,entailment,locative,spray/load,splash,SPRAY/LOAD,,Non-entailment,non-entailment,,,
Robert splashed ice-cold water on Jason.,Jason splashed Robert with ice-cold water.,non-entailment,locative,spray/load,splash,SPRAY/LOAD,,Non-entailment.,non-entailment,,,
Stephanie splattered Laura with Lisa's coffee as she carried the cup to the table and tripped over Lucky.,Stephanie splattered Lisa's coffee on Laura as she carried the cup to the table and tripped over Lucky.,entailment,locative,spray/load,splatter,SPRAY/LOAD,,Entailment,entailment,,,
Stephanie splattered Laura with Lisa's coffee as she carried the cup to the table and tripped over Lucky.,Stephanie splattered some coffee on Lisa as she carried the cup to the table and tripped over Lucky.,non-entailment,locative,spray/load,splatter,SPRAY/LOAD,,Non-entailment,non-entailment,,,
Ryan sprayed David's insect repellent on Rebecca during their picnic by the lake.,Ryan sprayed Rebecca with David's insect repellent during their picnic by the lake.,entailment,locative,spray/load,spray,SPRAY/LOAD,,Entailment,entailment,,,
Ryan sprayed David's insect repellent on Rebecca during their picnic by the lake.,Ryan sprayed David with some insect repellent during their picnic by the lake.,non-entailment,locative,spray/load,spray,SPRAY/LOAD,,non-entailment,non-entailment,,,
Kevin accidentally spread Lucy's canvas with too much of Mary's paint.,Kevin accidentally spread too much of Mary's paint on Lucy's canvas.,entailment,locative,spray/load,spread,SPRAY/LOAD,,Entailment,entailment,,,
Kevin accidentally spread Lucy's canvas with too much of Mary's paint.,Kevin accidentally spread too much of the paint on Mary's canvas.,non-entailment,locative,spray/load,spread,SPRAY/LOAD,,Non-entailment. The hypothesis cannot be inferred from the given premise.,non-entailment,,,
Nancy sprinkled Emma's lavender water on her daughter's pillow.,Nancy sprinkled her daughter's pillow with Emma's lavender water.,entailment,locative,spray/load,sprinkle,SPRAY/LOAD,,entailment,entailment,,,
Nancy sprinkled Emma's lavender water on her daughter's pillow.,Nancy sprinkled her pillow with lavender water.,non-entailment,locative,spray/load,sprinkle,SPRAY/LOAD,,non-entailment,non-entailment,,,
Samantha spritzed Anna's perfume on Ashley before the party.,Samantha spritzed Ashley with Anna's perfume before the party.,entailment,locative,spray/load,spritz,SPRAY/LOAD,,entailment,entailment,,,
Samantha spritzed Anna's perfume on Ashley before the party.,Samantha spritzed Anna with her perfume before the party.,non-entailment,locative,spray/load,spritz,SPRAY/LOAD,,entailment,entailment,,,
Lauren strewed Alice with golden leaves while playing outdoors.,Lauren strewed golden leaves on Alice while playing outdoors.,entailment,locative,spray/load,strew,SPRAY/LOAD,,Entailment,entailment,,,
Lauren strewed Alice with golden leaves while playing outdoors.,Alice strewed golden leaves on Lauren while playing outdoors.,non-entailment,locative,spray/load,strew,SPRAY/LOAD,,Non-entailment,non-entailment,,,
John wrapped Mary with Jane's blanket when it got chilly in the garden.,John wrapped Jane's blanket around Mary when it got chilly in the garden.,entailment,locative,spray/load,wrap,SPRAY/LOAD,,entailment,entailment,,,
John wrapped Mary with Jane's blanket when it got chilly in the garden.,John wrapped a blanket around Jane when it got chilly in the garden.,non-entailment,locative,spray/load,wrap,SPRAY/LOAD,,Non-entailment,non-entailment,,,
Steve cleaned the paint from Betty.,Steve cleaned Betty of the paint.,entailment,locative,clear,clean,CLEAR,,Non-entailment,non-entailment,,,
Steve cleaned the paint from Betty.,Betty cleaned Steve of the paint.,non-entailment,locative,clear,clean,CLEAR,,non-entailment,non-entailment,,,
Emily cleared Mark of the mud.,Emily cleared the mud from Mark.,entailment,locative,clear,clear,CLEAR,,Non-entailment,non-entailment,,,
Emily cleared Mark of the mud.,Mark cleared the mud from Emily.,non-entailment,locative,clear,clear,CLEAR,,non-entailment,non-entailment,,,
The team arranged a row of chairs into a circle for the meeting.,The team arranged a circle of chairs out of a row for the meeting.,entailment,creation and transformation,material/product (transitive),arrange,BUILD,,non-entailment,non-entailment,,,
The team arranged a row of chairs into a circle for the meeting.,The team arranged a row of chairs out of a circle for the meeting.,non-entailment,creation and transformation,material/product (transitive),arrange,BUILD,,non-entailment,non-entailment,,,
The scientist assembled an engine out of a solar-powered device.,The scientist assembled a solar-powered device into an engine.,entailment,creation and transformation,material/product (transitive),assemble,BUILD,,Entailment.,entailment,,,
The scientist assembled an engine out of a solar-powered device.,The scientist assembled an engine into a solar-powered device.,non-entailment,creation and transformation,material/product (transitive),assemble,BUILD,,entailment,entailment,,,
He built a henhouse out of a tool shed.,He built a tool shed into a henhouse.,entailment,creation and transformation,material/product (transitive),build,BUILD,,Non-entailment,non-entailment,,,
He built a henhouse out of a tool shed.,He built a henhouse into a tool shed.,non-entailment,creation and transformation,material/product (transitive),build,BUILD,,Non-Entailment,non-entailment,,,
Martha carved a wooden spoon out of a pointy stick.,Martha carved a pointy stick into a wooden spoon.,entailment,creation and transformation,material/product (transitive),carve,BUILD,,"The given premise ""Martha carved a wooden spoon out of a pointy stick."" does imply that Martha used a pointy stick to carve a wooden spoon. Therefore, the hypothesis ""Martha carved a pointy stick into a wooden spoon."" can be inferred from the given premise. Hence, the answer is entailment.",entailment,,,
Martha carved a wooden spoon out of a pointy stick.,Martha carved a wooden spoon into a pointy stick.,non-entailment,creation and transformation,material/product (transitive),carve,BUILD,,Non-entailment,non-entailment,,,
The glassblower cast molten glass from a broken vase into a bowl.,The glassblower cast a bowl out of molten glass from a broken vase.,entailment,creation and transformation,material/product (transitive),cast,BUILD,,Non-entailment.,non-entailment,,,
The glassblower cast molten glass from a broken vase into a bowl.,The glassblower cast a vase out of molten glass from a broken bowl.,non-entailment,creation and transformation,material/product (transitive),cast,BUILD,,Non-entailment.,non-entailment,,,
The teacher compiled final exam questions from previous years into midterm tests.,The teacher compiled midterm tests out of final exam questions from previous years.,entailment,creation and transformation,material/product (transitive),compile,BUILD,,Entailment,entailment,,,
The teacher compiled final exam questions from previous years into midterm tests.,The teacher compiled final exam questions out of midterm tests from previous years.,non-entailment,creation and transformation,material/product (transitive),compile,BUILD,,Non-entailment,non-entailment,,,
The tailor fashioned a dress into a skirt for Jane.,The tailor fashioned a skirt out of a dress for Jane.,entailment,creation and transformation,material/product (transitive),fashion,BUILD,,Entailment,entailment,,,
The tailor fashioned a dress into a skirt for Jane.,The tailor fashioned a dress out of a skirt for Jane.,non-entailment,creation and transformation,material/product (transitive),fashion,BUILD,,Non-entailment,non-entailment,,,
Susan made shorts out of a skirt for Mary. ,Susan made a skirt into shorts for Mary.,entailment,creation and transformation,material/product (transitive),make,BUILD,,Entailment,entailment,,,
Susan made shorts out of a skirt for Mary. ,Susan made shorts into a skirt for Mary.,non-entailment,creation and transformation,material/product (transitive),make,BUILD,,Non-entailment,non-entailment,,,
Oliver shaped a bowl instead of a mug from a lump of clay on the potter's wheel.,A lump of clay was shaped into a bowl. ,entailment,creation and transformation,material/product (transitive),shape,BUILD,,Entailment.,entailment,,,
Oliver shaped a bowl instead of a mug from a lump of clay on the potter's wheel.,A lump of clay was shaped into a mug.,non-entailment,creation and transformation,material/product (transitive),shape,BUILD,,Non-entailment,non-entailment,,,
Lara stitched a pillowcase into a T-shirt.,Lara stitched a T-shirt out of a pillowcase.,entailment,creation and transformation,material/product (transitive),stitch,BUILD,,Non-entailment,non-entailment,,,
Lara stitched a pillowcase into a T-shirt.,Lara stitched a pillowcase out of a T-shirt.,non-entailment,creation and transformation,material/product (transitive),stitch,BUILD,,Non-entailment.,non-entailment,,,
A book was developed into a movie.,A movie was developed from a book.,entailment,creation and transformation,material/product (intransitive),develop,GROW,,Entailment.,entailment,,,
A book was developed into a movie.,A book was developed from a movie.,non-entailment,creation and transformation,material/product (intransitive),develop,GROW,,Non-entailment.,non-entailment,,,
The comic book evolved from the cartoon.,The cartoon evolved into the comic book.,entailment,creation and transformation,material/product (intransitive),evolve,GROW,,Non-entailment.,non-entailment,,,
The comic book evolved from the cartoon.,The comic book evolved into the cartoon.,non-entailment,creation and transformation,material/product (intransitive),evolve,GROW,,non-entailment,non-entailment,,,
Alan credited the team's success to Steve.,Alan credited Steve with the team's success.,entailment,fulfilling,,credit,FULFILLING,,Entailment,entailment,,,
Alan credited the team's success to Steve.,Alan credited the team with Steve's success.,non-entailment,fulfilling,,credit,FULFILLING,,"The answer is non-entailment. The hypothesis, ""Alan credited the team with Steve's success"", cannot be inferred from the given premise, ""Alan credited the team's success to Steve."" The phrasing in the hypothesis suggests that Steve's success is the reason for the team's success, whereas the premise only states that Alan credited the team's success to Steve without specifying the exact relationship between Steve's success and the team's success.",non-entailment,,,
Anika entrusted her friend's documents to the lawyer.,Anika entrusted the lawyer with her friend's documents.,entailment,fulfilling,,entrust,FULFILLING,,Entailment.,entailment,,,
Anika entrusted her friend's documents to the lawyer.,Anika entrusted her friend with documents.,non-entailment,fulfilling,,entrust,FULFILLING,,non-entailment,non-entailment,,,
Miss Adamson issued Miss Dalton's report to Miss Carter.,Miss Adamson issued Miss Carter with Miss Dalton's report.,entailment,fulfilling,,issue,FULFILLING,,Entailment,entailment,,,
Miss Adamson issued Miss Dalton's report to Miss Carter.,Miss Adamson issued Miss Dalton with a report.,non-entailment,fulfilling,,issue,FULFILLING,,non-entailment,non-entailment,,,
Emily left John with a reminder to pick up the parcel.,Emily left a reminder to John.,entailment,fulfilling,,leave,FULFILLING,,non-entailment,non-entailment,,,
Emily left John with a reminder to pick up the parcel.,Emily left a parcel to John.,non-entailment,fulfilling,,leave,FULFILLING,,Non-entailment,non-entailment,,,
Mom presented Stephan's books to Edward.,Mom presented Edward with Stephan's books.,entailment,fulfilling,,present,FULFILLING,,Non-entailment,non-entailment,,,
Mom presented Stephan's books to Edward.,Mom presented Stephan with books.,non-entailment,fulfilling,,present,FULFILLING,,Non-entailment,non-entailment,,,
George provided Alex with instructions before the team meeting.,George provided instructions to Alex.,entailment,fulfilling,,provide,FULFILLING,,entailment,entailment,,,
George provided Alex with instructions before the team meeting.,George provided instructions to the team,non-entailment,fulfilling,,provide,FULFILLING,,Non-entailment,non-entailment,,,
Robert served Amanda with his mom's pie after the long walk with the dog.,Robert served his mom's pie to Amanda.,entailment,fulfilling,,serve,FULFILLING,,Non-entailment.,non-entailment,,,
Robert served Amanda with his mom's pie after the long walk with the dog.,Robert served a pie to his mom.,non-entailment,fulfilling,,serve,FULFILLING,,Non-entailment,non-entailment,,,
Carol supplied Sarah with Mary's laptop while she worked on the presentation for the meeting.,Carol supplied Mary's laptop to Sarah.,entailment,fulfilling,,supply,FULFILLING,,Non-entailment,non-entailment,,,
Carol supplied Sarah with Mary's laptop while she worked on the presentation for the meeting.,Carol supplied a laptop to Mary.,non-entailment,fulfilling,,supply,FULFILLING,,Non-entailment.,non-entailment,,,
Bob trusted Mark's sister with his parents' car.,Bob trusted his parents' car to Mark's sister.,entailment,fulfilling,,trust,FULFILLING,,entailment,entailment,,,
Bob trusted Mark's sister with his parents' car.,Bob trusted his car to Mark's sister.,non-entailment,fulfilling,,trust,FULFILLING,,Non-entailment,non-entailment,,,
Mary embroidered Christmas stockings on cushions.,Mary embroidered cushions with Christmas stockings.,entailment,image impression,,embroider,IMAGE IMPRESSION,,"The answer is 'entailment'. The hypothesis ""Mary embroidered cushions with Christmas stockings"" can be inferred from the given premise ""Mary embroidered Christmas stockings on cushions."" Both sentences convey the same information, but the order of the objects (stockings and cushions) is different.",entailment,,,
Mary embroidered Christmas stockings on cushions.,Mary embroidered Christmas stockings with cushions.,non-entailment,image impression,,embroider,IMAGE IMPRESSION,,Entailment,entailment,,,
Steve engraved a ring on a watch.,Steve engraved a watch with a ring.,entailment,image impression,,engrave,IMAGE IMPRESSION,,Non-entailment,non-entailment,,,
Steve engraved a ring on a watch.,Steve engraved a ring with a watch.,non-entailment,image impression,,engrave,IMAGE IMPRESSION,,Non-entailment,non-entailment,,,
Mark etched a scroll with a window.,Mark etched a window on a scroll.,entailment,image impression,,etch,IMAGE IMPRESSION,,Entailment,entailment,,,
Mark etched a scroll with a window.,Mark etched a scroll on a window.,non-entailment,image impression,,etch,IMAGE IMPRESSION,,"Non-entailment. The hypothesis ""Mark etched a scroll on a window."" cannot be inferred from the premise ""Mark etched a scroll with a window.""",non-entailment,,,
Emily imprinted the logo on the inscription.,Emily imprinted the inscription with the logo.,entailment,image impression,,imprint,IMAGE IMPRESSION,,Non-entailment,non-entailment,,,
Emily imprinted the logo on the inscription.,Emily imprinted the logo with the inscription.,non-entailment,image impression,,imprint,IMAGE IMPRESSION,,Non-entailment,non-entailment,,,
Frank marked the ring with a sign.,Frank marked the sign on the ring.,entailment,image impression,,mark,IMAGE IMPRESSION,,Non-entailment,non-entailment,,,
Frank marked the ring with a sign.,Frank marked the ring on the sign.,non-entailment,image impression,,mark,IMAGE IMPRESSION,,non-entailment,non-entailment,,,
Claire painted the wall with the ship.,Claire painted the ship on the wall.,entailment,image impression,,paint,IMAGE IMPRESSION,,Non-entailment.,non-entailment,,,
Claire painted the wall with the ship.,Claire painted the wall on the ship.,non-entailment,image impression,,paint,IMAGE IMPRESSION,,Non-entailment,non-entailment,,,
Carl stamped the letters on the logo.,Carl stamped the logo with the letters.,entailment,image impression,,stamp,IMAGE IMPRESSION,,Non-entailment,non-entailment,,,
Carl stamped the letters on the logo.,Carl stamped the letters with the logo.,non-entailment,image impression,,stamp,IMAGE IMPRESSION,,Non-entailment,non-entailment,,,
Gloria tattooed a hand on her neck.,Gloria tattooed her neck with a hand.,entailment,image impression,,tattoo,IMAGE IMPRESSION,,Entailment,entailment,,,
Gloria tattooed a hand on her neck.,Gloria tattooed her hand with a neck.,non-entailment,image impression,,tattoo,IMAGE IMPRESSION,,non-entailment,non-entailment,,,
The kid banged the toy car against the teddy bear.,The kid banged the teddy bear with the toy car.,entailment,with/against,,bang,IMAGE IMPRESSION,,non-entailment,non-entailment,,,
The kid banged the toy car against the teddy bear.,The kid banged the toy car with the teddy bear.,non-entailment,with/against,,bang,IMAGE IMPRESSION,,non-entailment,non-entailment,,,
Ethan bashed the car against the dumpster.,Ethan bashed the dumpster with the car.,entailment,with/against,,bash,IMAGE IMPRESSION,,non-entailment,non-entailment,,,
Ethan bashed the car against the dumpster.,Ethan bashed the car with the dumpster.,non-entailment,with/against,,bash,IMAGE IMPRESSION,,non-entailment,non-entailment,,,
Mary bumped the grocery cart against the bicycle.,Mary bumped the bicycle with the grocery cart.,entailment,with/against,,bump,IMAGE IMPRESSION,,non-entailment,non-entailment,,,
Mary bumped the grocery cart against the bicycle.,Mary bumped the grocery cart with the bicycle.,non-entailment,with/against,,bump,IMAGE IMPRESSION,,Non-entailment.,non-entailment,,,
Linda hit her palm against the stick.,Linda hit the stick with her palm.,entailment,with/against,,hit,IMAGE IMPRESSION,,Entailment.,entailment,,,
Linda hit her palm against the stick.,Linda hit her palm with the stick.,non-entailment,with/against,,hit,IMAGE IMPRESSION,,Entailment,entailment,,,
John kicked the toy against the ball.,John kicked the ball with the toy.,entailment,with/against,,kick,IMAGE IMPRESSION,,non-entailment,non-entailment,,,
John kicked the toy against the ball.,John kicked the toy with the ball.,non-entailment,with/against,,kick,IMAGE IMPRESSION,,Non-entailment.,non-entailment,,,
Charles knocked the vase against the mug.,Charles knocked the mug with the vase.,entailment,with/against,,knock,IMAGE IMPRESSION,,Non-entailment.,non-entailment,,,
Charles knocked the vase against the mug.,Charles knocked the vase with the mug.,non-entailment,with/against,,knock,IMAGE IMPRESSION,,Non-entailment,non-entailment,,,
Daniel lashed the whip against the rope.,Daniel lashed the rope with the whip.,entailment,with/against,,lash,IMAGE IMPRESSION,,non-entailment,non-entailment,,,
Daniel lashed the whip against the rope.,Daniel lashed the whip with the rope.,non-entailment,with/against,,lash,IMAGE IMPRESSION,,non-entailment,non-entailment,,,
The student rapped fingers against the pen.,The student rapped the pen with fingers.,entailment,with/against,,rap,IMAGE IMPRESSION,,Non-entailment,non-entailment,,,
The student rapped fingers against the pen.,The student rapped fingers with the pen.,non-entailment,with/against,,rap,IMAGE IMPRESSION,,Non-entailment,non-entailment,,,
The teacher slapped the ruler against fingers.,The teacher slapped the fingers with the ruler.,entailment,with/against,,slap,IMAGE IMPRESSION,,Entailment.,entailment,,,
The teacher slapped the ruler against fingers.,The teacher slapped the ruler with fingers.,non-entailment,with/against,,slap,IMAGE IMPRESSION,,Non-entailment,non-entailment,,,
Daniel smacked the car against the garage door.,Daniel smacked the garage door with the car.,entailment,with/against,,smack,IMAGE IMPRESSION,,Non-entailment.,non-entailment,,,
Daniel smacked the car against the garage door.,Daniel smacked the car with the garage door.,non-entailment,with/against,,smack,IMAGE IMPRESSION,,Non-entailment,non-entailment,,,
The skateboarder smashed the skateboard against the wooden railing.,The skateboarder smashed the skateboard with the wooden railing.,entailment,with/against,,smash,IMAGE IMPRESSION,,Non-entailment,non-entailment,,,
The skateboarder smashed the skateboard against the wooden railing.,The skateboarder smashed the wooden railing with the skateboard.,non-entailment,with/against,,smash,IMAGE IMPRESSION,,Non-entailment,non-entailment,,,
Sam struck the branch against the rock.,Sam struck the rock with the branch.,entailment,with/against,,strike,IMAGE IMPRESSION,,Entailment,entailment,,,
Sam struck the branch against the rock.,Sam struck the branch with the rock.,non-entailment,with/against,,strike,IMAGE IMPRESSION,,Non-entailment.,non-entailment,,,
The child tapped fingers against the pencil.,The child tapped the pencil with fingers.,entailment,with/against,,tap,IMAGE IMPRESSION,,Entailment.,entailment,,,
The child tapped fingers against the pencil.,The child tapped fingers with the pencil.,non-entailment,with/against,,tap,IMAGE IMPRESSION,,Non-entailment,non-entailment,,,
James whacked the ball against the handbag.,James whacked the handbag with the ball.,entailment,with/against,,whack,IMAGE IMPRESSION,,Non-entailment,non-entailment,,,
James whacked the ball against the handbag.,James whacked the ball with the handbag.,non-entailment,with/against,,whack,IMAGE IMPRESSION,,Non-entailment,non-entailment,,,
